export_id,captured_at,source_type,source_label,scenario_id,scenario_title,status,alarm_count,alarm_codes,alarm_messages,parameter_outdoor_temp_c,parameter_airflow_m3_h,parameter_supply_temp_setpoint_c,parameter_heat_recovery_efficiency,parameter_heater_power_kw,parameter_filter_contamination,parameter_fan_speed_ratio,parameter_room_temp_c,parameter_room_heat_gain_kw,parameter_control_mode,state_actual_airflow_m3_h,state_mixed_air_temp_c,state_recovered_air_temp_c,state_supply_temp_c,state_room_temp_c,state_heating_power_kw,state_heater_load_ratio,state_fan_power_kw,state_total_power_kw,state_energy_intensity_kw_per_1000_m3_h,state_filter_pressure_drop_pa,state_heat_balance_kw,trend_minute,trend_outdoor_temp_c,trend_supply_temp_c,trend_room_temp_c,trend_heating_power_kw,trend_total_power_kw,trend_airflow_m3_h,trend_filter_pressure_drop_pa
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,0,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,10,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,20,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,30,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,40,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,50,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,60,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,70,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,80,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,90,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,100,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,110,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
pvu-export-20260404-204723,2026-04-04T17:47:23.842939+00:00,scenario,Межсезонье (midseason),midseason,Межсезонье,normal,0,,,6.0,3000.0,19.0,0.45,18.0,0.15,0.86,21.2,4.2,auto,2444.55,6.0,12.84,19.0,21.2,5.04,0.28,1.04,6.08,2.49,143.17,-0.34,120,6.0,19.0,21.2,5.04,6.08,2444.55,143.17
